session_id,customer_id,login_datetime,login_channel,device_type,login_status,session_duration_minutes,activity_type,transactions_in_session,biometric_login,state
SESS0000000001,CUST000001,2025-07-26 17:20:32.154876,Mobile App,Android,Success,5,Balance Enquiry,0,Yes,Utah
SESS0000000002,CUST000001,2026-03-18 02:40:32.154908,Mobile App,iPhone,Success,2,Credit Card Payment,1,Yes,Utah
SESS0000000003,CUST000001,2026-01-06 05:39:32.154931,Mobile App,MacBook,Success,2,Balance Enquiry,0,No,Utah
SESS0000000004,CUST000001,2025-09-16 10:32:32.154950,Mobile App,Android,Success,12,Bill Payment,1,No,Utah
SESS0000000005,CUST000001,2025-12-31 06:04:32.154968,Mobile App,Android,Success,10,Loan Account View,0,Yes,Utah
SESS0000000006,CUST000001,2025-07-23 06:24:32.154986,Mobile App,Android,Success,7,Offer Browsing,0,Yes,Utah
SESS0000000007,CUST000001,2026-03-21 20:46:32.155002,Mobile App,Android,Success,5,Bill Payment,1,No,Utah
SESS0000000008,CUST000001,2025-12-16 06:03:32.155018,Web Portal,Android,Success,3,Funds Transfer,2,Yes,Utah
SESS0000000009,CUST000001,2025-09-06 14:53:32.155034,Mobile App,Android,Success,15,Loan Account View,0,No,Utah
SESS0000000010,CUST000001,2025-08-14 07:10:32.155050,Mobile App,Android,Success,11,Credit Card Payment,1,No,Utah
SESS0000000011,CUST000001,2025-08-22 07:24:32.155066,Mobile App,Android,Success,7,Balance Enquiry,0,Yes,Utah
SESS0000000012,CUST000001,2025-10-31 17:10:32.155082,Web Portal,iPhone,Success,4,Balance Enquiry,0,Yes,Utah
SESS0000000013,CUST000001,2026-05-03 19:47:32.155099,Web Portal,Android,Success,19,Loan Account View,0,Yes,Utah
SESS0000000014,CUST000001,2026-01-30 04:35:32.155115,Mobile App,Android,Success,5,Credit Card Payment,0,Yes,Utah
SESS0000000015,CUST000001,2026-07-05 14:32:32.155131,Mobile App,Android,Success,11,Balance Enquiry,0,Yes,Utah
SESS0000000016,CUST000001,2025-09-18 22:47:32.155146,Mobile App,Android,Success,5,Balance Enquiry,0,Yes,Utah
SESS0000000017,CUST000001,2025-07-28 20:36:32.155162,Mobile App,Android,Success,5,Profile Update,0,Yes,Utah
SESS0000000018,CUST000001,2026-05-31 02:26:32.155178,Web Portal,Android,Success,6,Statement Download,0,No,Utah
SESS0000000019,CUST000001,2025-11-04 10:22:32.155194,Mobile App,Windows,Success,2,Balance Enquiry,0,No,Utah
SESS0000000020,CUST000001,2026-04-20 10:59:32.155210,Mobile App,Windows,Success,2,Statement Download,0,No,Utah
SESS0000000021,CUST000001,2026-06-09 01:12:32.155225,Web Portal,Android,Success,10,Offer Browsing,0,Yes,Utah
SESS0000000022,CUST000001,2025-08-25 14:51:32.155241,Mobile App,Android,Success,8,Balance Enquiry,0,Yes,Utah
SESS0000000023,CUST000001,2025-11-16 06:18:32.155256,Mobile App,Android,Success,6,Bill Payment,1,Yes,Utah
SESS0000000024,CUST000002,2026-06-03 09:54:32.155340,Mobile App,Android,Success,10,Statement Download,0,No,North Carolina
SESS0000000025,CUST000002,2025-08-03 13:21:32.155360,Mobile App,iPhone,Success,2,Loan Account View,0,Yes,North Carolina
SESS0000000026,CUST000002,2025-10-23 02:01:32.155378,Web Portal,Android,Success,6,Credit Card Payment,1,Yes,North Carolina
SESS0000000027,CUST000002,2025-11-23 23:32:32.155395,Mobile App,Android,Success,12,Reward Redemption,0,Yes,North Carolina
SESS0000000028,CUST000002,2026-04-24 04:09:32.155411,Mobile App,Android,Success,4,Funds Transfer,2,Yes,North Carolina
SESS0000000029,CUST000002,2025-08-24 18:08:32.155428,Web Portal,Android,Success,13,Profile Update,0,Yes,North Carolina
SESS0000000030,CUST000002,2026-02-22 11:27:32.155444,Mobile App,iPhone,Success,5,Offer Browsing,0,Yes,North Carolina
SESS0000000031,CUST000002,2026-03-16 16:35:32.155459,Mobile App,Android,Success,12,Loan Account View,0,Yes,North Carolina
SESS0000000032,CUST000002,2026-06-24 13:21:32.155475,Web Portal,iPhone,Success,3,Service Request,0,Yes,North Carolina
SESS0000000033,CUST000002,2026-05-10 04:20:32.155491,Mobile App,Android,Success,4,Funds Transfer,2,No,North Carolina
SESS0000000034,CUST000002,2025-07-30 10:54:32.155506,Mobile App,Android,Success,10,Credit Card Payment,1,Yes,North Carolina
SESS0000000035,CUST000003,2025-09-28 13:05:32.155582,Mobile App,Android,Success,7,Statement Download,0,Yes,Louisiana
SESS0000000036,CUST000003,2025-11-12 02:49:32.155603,Mobile App,iPhone,Success,5,Balance Enquiry,0,Yes,Louisiana
SESS0000000037,CUST000003,2025-07-29 08:03:32.155620,Web Portal,iPhone,Success,3,Reward Redemption,0,Yes,Louisiana
SESS0000000038,CUST000003,2025-09-17 10:32:32.155636,Mobile App,iPhone,Success,5,Funds Transfer,2,Yes,Louisiana
SESS0000000039,CUST000003,2026-03-18 11:26:32.155652,Web Portal,Windows,Success,5,Profile Update,0,No,Louisiana
SESS0000000040,CUST000003,2025-11-23 21:25:32.155668,Mobile App,Android,Success,18,Bill Payment,1,No,Louisiana
SESS0000000041,CUST000003,2025-10-15 01:37:32.155684,Mobile App,Android,Success,5,Balance Enquiry,0,Yes,Louisiana
SESS0000000042,CUST000003,2025-07-18 12:32:32.155739,Mobile App,Windows,Success,9,Balance Enquiry,0,No,Louisiana
SESS0000000043,CUST000003,2025-09-17 04:47:32.155758,Mobile App,Android,Success,17,Offer Browsing,0,No,Louisiana
SESS0000000044,CUST000003,2025-11-01 10:00:32.155774,Mobile App,Android,Success,9,Bill Payment,0,No,Louisiana
SESS0000000045,CUST000003,2025-12-18 22:41:32.155790,Mobile App,iPhone,Success,13,Offer Browsing,0,Yes,Louisiana
SESS0000000046,CUST000003,2025-12-26 08:29:32.155806,Web Portal,Android,Success,5,Funds Transfer,1,No,Louisiana
SESS0000000047,CUST000003,2025-08-09 15:29:32.155822,Mobile App,Android,Success,7,Balance Enquiry,0,Yes,Louisiana
SESS0000000048,CUST000003,2025-11-11 19:01:32.155837,Mobile App,Android,Success,20,Offer Browsing,0,No,Louisiana
SESS0000000049,CUST000004,2025-09-16 19:19:32.155922,Web Portal,MacBook,Success,7,Balance Enquiry,0,No,Indiana
SESS0000000050,CUST000004,2025-09-22 15:55:32.155941,Mobile App,Android,Success,6,Statement Download,0,Yes,Indiana
SESS0000000051,CUST000004,2025-08-17 02:32:32.155958,Mobile App,Android,Success,10,Funds Transfer,1,No,Indiana
SESS0000000052,CUST000004,2026-01-24 09:24:32.155974,Web Portal,iPhone,Success,9,Loan Account View,0,Yes,Indiana
SESS0000000053,CUST000004,2026-04-06 02:04:32.155990,Mobile App,iPhone,Success,15,Funds Transfer,1,Yes,Indiana
SESS0000000054,CUST000004,2026-03-06 17:51:32.156006,Mobile App,Android,Success,3,Offer Browsing,0,Yes,Indiana
SESS0000000055,CUST000004,2025-11-07 23:44:32.156022,Mobile App,Android,Success,4,Balance Enquiry,0,Yes,Indiana
SESS0000000056,CUST000004,2026-04-01 10:30:32.156038,Mobile App,Android,Success,4,Balance Enquiry,0,Yes,Indiana
SESS0000000057,CUST000004,2026-06-10 23:59:32.156054,Mobile App,Android,Success,12,Balance Enquiry,0,Yes,Indiana
SESS0000000058,CUST000004,2026-03-01 02:10:32.156071,Web Portal,Android,Success,9,Balance Enquiry,0,Yes,Indiana
SESS0000000059,CUST000004,2026-03-03 13:42:32.156087,Mobile App,Android,Success,3,Offer Browsing,0,Yes,Indiana
SESS0000000060,CUST000004,2026-02-01 22:38:32.156100,Mobile App,Windows,Failed,2,Login Failed,0,No,Indiana
SESS0000000061,CUST000004,2025-11-19 18:39:32.156116,Mobile App,Android,Success,7,Balance Enquiry,0,No,Indiana
SESS0000000062,CUST000004,2025-12-03 13:43:32.156131,Mobile App,Android,Success,3,Offer Browsing,0,Yes,Indiana
SESS0000000063,CUST000004,2025-11-26 13:48:32.156147,Mobile App,Android,Success,8,Bill Payment,1,Yes,Indiana
SESS0000000064,CUST000004,2026-06-25 15:03:32.156162,Web Portal,Android,Success,2,Credit Card Payment,1,No,Indiana
SESS0000000065,CUST000004,2025-09-12 03:37:32.156178,Web Portal,Android,Success,2,Offer Browsing,0,Yes,Indiana
SESS0000000066,CUST000004,2026-02-10 19:52:32.156194,Web Portal,Android,Success,2,Funds Transfer,1,Yes,Indiana
SESS0000000067,CUST000004,2025-08-05 23:48:32.156209,Mobile App,MacBook,Success,10,Funds Transfer,0,No,Indiana
SESS0000000068,CUST000004,2026-02-11 02:21:32.156225,Mobile App,Android,Success,6,Statement Download,0,No,Indiana
SESS0000000069,CUST000004,2026-05-11 03:10:32.156241,Mobile App,Android,Success,9,Funds Transfer,0,Yes,Indiana
SESS0000000070,CUST000004,2026-03-06 02:42:32.156253,Mobile App,iPhone,Failed,10,Login Failed,0,Yes,Indiana
SESS0000000071,CUST000004,2025-10-22 08:25:32.156269,Mobile App,Android,Success,20,Profile Update,0,Yes,Indiana
SESS0000000072,CUST000004,2025-11-17 06:22:32.156285,Mobile App,Android,Success,3,Statement Download,0,No,Indiana
SESS0000000073,CUST000004,2025-12-25 04:35:32.156300,Mobile App,Android,Success,3,Credit Card Payment,1,No,Indiana
SESS0000000074,CUST000005,2025-11-17 16:31:32.156371,Mobile App,Windows,Success,6,Funds Transfer,2,No,Arizona
SESS0000000075,CUST000005,2025-07-27 23:53:32.156391,Web Portal,iPhone,Success,10,Balance Enquiry,0,Yes,Arizona
SESS0000000076,CUST000005,2025-11-28 13:29:32.156408,Mobile App,iPhone,Success,9,Balance Enquiry,0,No,Arizona
SESS0000000077,CUST000005,2025-11-30 13:02:32.156424,Mobile App,Android,Success,3,Statement Download,0,No,Arizona
SESS0000000078,CUST000005,2026-03-12 02:37:32.156440,Mobile App,iPhone,Success,18,Offer Browsing,0,Yes,Arizona
SESS0000000079,CUST000005,2025-08-15 03:33:32.156457,Mobile App,Android,Success,17,Statement Download,0,Yes,Arizona
SESS0000000080,CUST000005,2026-06-26 19:52:32.156472,Mobile App,Android,Success,10,Statement Download,0,No,Arizona
SESS0000000081,CUST000005,2025-08-17 10:38:32.156488,Mobile App,iPhone,Success,3,Loan Account View,0,Yes,Arizona
SESS0000000082,CUST000005,2026-01-21 17:51:32.156504,Mobile App,Android,Success,10,Balance Enquiry,0,No,Arizona
SESS0000000083,CUST000005,2026-02-06 17:22:32.156520,Mobile App,iPhone,Success,2,Loan Account View,0,No,Arizona
SESS0000000084,CUST000005,2026-05-23 05:17:32.156536,Mobile App,Windows,Success,9,Reward Redemption,1,No,Arizona
SESS0000000085,CUST000005,2025-07-28 09:47:32.156552,Mobile App,Android,Success,10,Offer Browsing,0,Yes,Arizona
SESS0000000086,CUST000005,2026-04-28 16:15:32.156567,Mobile App,Android,Success,5,Bill Payment,0,Yes,Arizona
SESS0000000087,CUST000005,2025-09-10 17:31:32.156583,Mobile App,Android,Success,6,Offer Browsing,0,No,Arizona
SESS0000000088,CUST000005,2026-03-10 06:11:32.156598,Web Portal,Android,Success,4,Balance Enquiry,0,Yes,Arizona
SESS0000000089,CUST000005,2025-08-03 10:36:32.156614,Mobile App,MacBook,Success,2,Loan Account View,0,No,Arizona
SESS0000000090,CUST000005,2025-09-11 10:25:32.156630,Web Portal,Android,Success,4,Loan Account View,0,No,Arizona
SESS0000000091,CUST000005,2026-05-12 19:22:32.156645,Mobile App,Android,Success,8,Statement Download,0,Yes,Arizona
SESS0000000092,CUST000005,2026-06-06 01:49:32.156660,Mobile App,Android,Success,2,Funds Transfer,0,Yes,Arizona
SESS0000000093,CUST000005,2025-11-15 21:16:32.156676,Mobile App,iPhone,Success,9,Bill Payment,1,Yes,Arizona
SESS0000000094,CUST000005,2026-06-05 13:00:32.156692,Mobile App,Windows,Success,9,Balance Enquiry,0,No,Arizona
SESS0000000095,CUST000005,2025-11-30 02:21:32.156729,Mobile App,iPhone,Success,4,Credit Card Payment,0,Yes,Arizona
SESS0000000096,CUST000005,2025-07-22 02:13:32.156745,Mobile App,Android,Success,2,Funds Transfer,0,No,Arizona
SESS0000000097,CUST000005,2025-07-30 13:51:32.156761,Mobile App,iPhone,Success,6,Bill Payment,1,Yes,Arizona
SESS0000000098,CUST000005,2026-05-14 05:23:32.156776,Mobile App,Android,Success,2,Bill Payment,0,Yes,Arizona
SESS0000000099,CUST000005,2025-08-30 19:24:32.156791,Mobile App,Android,Success,7,Bill Payment,0,Yes,Arizona
SESS0000000100,CUST000005,2026-06-03 12:30:32.156807,Mobile App,Android,Success,2,Profile Update,0,Yes,Arizona
SESS0000000101,CUST000005,2026-06-12 13:07:32.156822,Mobile App,Android,Success,2,Credit Card Payment,0,Yes,Arizona
SESS0000000102,CUST000005,2026-01-13 04:10:32.156838,Mobile App,iPhone,Success,5,Balance Enquiry,0,Yes,Arizona
SESS0000000103,CUST000005,2026-04-29 08:59:32.156853,Mobile App,Android,Success,2,Statement Download,0,Yes,Arizona
SESS0000000104,CUST000005,2026-06-02 04:22:32.156869,Mobile App,iPhone,Success,18,Loan Account View,0,Yes,Arizona
SESS0000000105,CUST000005,2026-02-10 13:52:32.156884,Mobile App,Android,Success,4,Credit Card Payment,1,Yes,Arizona
SESS0000000106,CUST000005,2025-09-10 04:44:32.156900,Mobile App,Android,Success,4,Balance Enquiry,0,Yes,Arizona
SESS0000000107,CUST000005,2026-01-09 17:25:32.156915,Mobile App,Android,Success,3,Funds Transfer,1,Yes,Arizona
SESS0000000108,CUST000005,2025-08-21 01:48:32.156930,Mobile App,iPhone,Success,5,Bill Payment,0,No,Arizona
SESS0000000109,CUST000005,2026-02-03 08:40:32.156946,Mobile App,Android,Success,2,Funds Transfer,2,Yes,Arizona
SESS0000000110,CUST000005,2025-08-27 21:45:32.156962,Mobile App,iPhone,Success,9,Profile Update,0,Yes,Arizona
SESS0000000111,CUST000005,2026-01-13 19:12:32.156978,Mobile App,Android,Success,6,Balance Enquiry,0,No,Arizona
SESS0000000112,CUST000005,2025-12-22 03:28:32.156994,Mobile App,Android,Success,2,Funds Transfer,1,Yes,Arizona
SESS0000000113,CUST000005,2026-01-19 14:40:32.157009,Mobile App,Android,Success,4,Profile Update,0,No,Arizona
SESS0000000114,CUST000005,2026-05-03 19:33:32.157025,Web Portal,Android,Success,2,Bill Payment,1,Yes,Arizona
SESS0000000115,CUST000005,2026-04-01 10:09:32.157041,Mobile App,Android,Success,6,Offer Browsing,0,No,Arizona
SESS0000000116,CUST000005,2025-09-06 05:08:32.157057,Mobile App,Windows,Success,3,Statement Download,0,No,Arizona
SESS0000000117,CUST000005,2026-03-11 00:02:32.157072,Mobile App,Android,Success,7,Statement Download,0,Yes,Arizona
SESS0000000118,CUST000005,2025-10-24 00:51:32.157087,Web Portal,Android,Success,13,Loan Account View,0,Yes,Arizona
SESS0000000119,CUST000006,2026-02-13 14:29:32.157166,Mobile App,Windows,Success,10,Balance Enquiry,0,No,South Dakota
SESS0000000120,CUST000006,2025-12-08 15:52:32.157185,Mobile App,Windows,Success,3,Profile Update,0,No,South Dakota
SESS0000000121,CUST000006,2026-04-29 15:59:32.157202,Web Portal,Windows,Success,5,Bill Payment,0,No,South Dakota
SESS0000000122,CUST000006,2026-05-13 08:02:32.157219,Mobile App,Android,Success,7,Loan Account View,0,Yes,South Dakota
SESS0000000123,CUST000006,2026-06-29 20:45:32.157235,Mobile App,Android,Success,3,Funds Transfer,2,Yes,South Dakota
SESS0000000124,CUST000006,2026-06-04 00:43:32.157251,Mobile App,Android,Success,2,Bill Payment,1,Yes,South Dakota
SESS0000000125,CUST000006,2026-01-13 09:31:32.157266,Mobile App,Android,Success,2,Funds Transfer,0,Yes,South Dakota
SESS0000000126,CUST000006,2025-07-17 01:37:32.157282,Mobile App,Android,Success,3,Loan Account View,0,Yes,South Dakota
SESS0000000127,CUST000006,2025-10-18 04:25:32.157298,Mobile App,iPhone,Success,4,Statement Download,0,Yes,South Dakota
SESS0000000128,CUST000006,2025-11-27 04:30:32.157313,Mobile App,Android,Success,5,Statement Download,0,Yes,South Dakota
SESS0000000129,CUST000006,2026-05-29 03:39:32.157329,Web Portal,Windows,Success,3,Loan Account View,0,No,South Dakota
