transaction_id,customer_id,account_type,transaction_date,transaction_type,merchant_category,transaction_channel,transaction_amount,transaction_status,state
TXN0000000001,CUST000001,Savings Account,2025-07-27,Debit,Healthcare,UPI,4050.93,Success,Utah
TXN0000000002,CUST000001,Savings Account,2025-10-23,Debit,Restaurant,UPI,960.85,Success,Utah
TXN0000000003,CUST000001,Credit Card,2025-09-10,Debit,Healthcare,UPI,10669.21,Success,Utah
TXN0000000004,CUST000001,Credit Card,2026-04-20,Credit,Interest Credit,UPI,24369.34,Success,Utah
TXN0000000005,CUST000001,Credit Card,2025-09-02,Debit,Groceries,UPI,6008.95,Success,Utah
TXN0000000006,CUST000001,Savings Account,2025-09-29,Debit,Shopping,Mobile Banking,2309.98,Success,Utah
TXN0000000007,CUST000001,Savings Account,2026-06-15,Debit,Entertainment,UPI,5743.71,Success,Utah
TXN0000000008,CUST000001,Credit Card,2026-02-16,Debit,Loan EMI,Mobile Banking,12902.11,Success,Utah
TXN0000000009,CUST000001,Loan Account,2025-07-24,Debit,Groceries,Internet Banking,5651.43,Success,Utah
TXN0000000010,CUST000001,Credit Card,2026-02-20,Debit,Groceries,UPI,11072.34,Failed,Utah
TXN0000000011,CUST000001,Savings Account,2026-03-13,Debit,Restaurant,Mobile Banking,10426.91,Success,Utah
TXN0000000012,CUST000001,Loan Account,2026-01-28,Debit,Shopping,Mobile Banking,1459.73,Success,Utah
TXN0000000013,CUST000001,Savings Account,2026-03-04,Debit,Entertainment,UPI,9821.35,Success,Utah
TXN0000000014,CUST000001,Credit Card,2026-03-18,Debit,Healthcare,POS,6712.29,Failed,Utah
TXN0000000015,CUST000001,Savings Account,2025-08-21,Debit,Shopping,Mobile Banking,11458.84,Success,Utah
TXN0000000016,CUST000001,Credit Card,2025-10-11,Debit,Restaurant,POS,6079.13,Success,Utah
TXN0000000017,CUST000001,Loan Account,2026-02-22,Debit,Loan EMI,UPI,10364.11,Success,Utah
TXN0000000018,CUST000001,Loan Account,2026-02-24,Debit,Fuel,UPI,2793.29,Success,Utah
TXN0000000019,CUST000001,Loan Account,2025-10-22,Debit,Shopping,ATM,2042.96,Success,Utah
TXN0000000020,CUST000001,Loan Account,2026-07-08,Debit,Healthcare,Mobile Banking,8321.0,Success,Utah
TXN0000000021,CUST000001,Credit Card,2026-03-08,Debit,Groceries,Mobile Banking,5763.22,Success,Utah
TXN0000000022,CUST000001,Savings Account,2025-10-09,Credit,Investment Redemption,POS,17708.81,Success,Utah
TXN0000000023,CUST000001,Loan Account,2025-12-04,Debit,Shopping,UPI,8472.15,Success,Utah
TXN0000000024,CUST000001,Credit Card,2025-07-30,Credit,Interest Credit,Internet Banking,72088.09,Success,Utah
TXN0000000025,CUST000001,Credit Card,2026-06-28,Debit,Restaurant,UPI,2254.56,Success,Utah
TXN0000000026,CUST000001,Savings Account,2026-06-04,Debit,Fuel,ATM,1529.4,Success,Utah
TXN0000000027,CUST000001,Savings Account,2025-10-05,Credit,Salary Credit,Internet Banking,31420.42,Success,Utah
TXN0000000028,CUST000001,Credit Card,2026-04-02,Credit,Cash Deposit,Mobile Banking,52540.39,Success,Utah
TXN0000000029,CUST000001,Savings Account,2025-07-29,Debit,Shopping,Mobile Banking,6460.98,Success,Utah
TXN0000000030,CUST000001,Savings Account,2026-03-03,Debit,Groceries,Mobile Banking,11059.1,Success,Utah
TXN0000000031,CUST000001,Savings Account,2025-11-24,Debit,Groceries,POS,3160.58,Success,Utah
TXN0000000032,CUST000001,Savings Account,2026-05-22,Credit,Salary Credit,POS,68693.04,Success,Utah
TXN0000000033,CUST000001,Credit Card,2026-06-08,Debit,Groceries,UPI,7541.8,Success,Utah
TXN0000000034,CUST000001,Credit Card,2025-12-04,Debit,Shopping,Mobile Banking,13934.51,Success,Utah
TXN0000000035,CUST000001,Savings Account,2026-02-07,Debit,Travel,POS,10097.13,Success,Utah
TXN0000000036,CUST000001,Savings Account,2025-09-12,Debit,Healthcare,UPI,1383.88,Success,Utah
TXN0000000037,CUST000001,Savings Account,2026-06-03,Credit,Salary Credit,POS,15119.16,Success,Utah
TXN0000000038,CUST000001,Savings Account,2025-09-15,Debit,Fuel,Mobile Banking,2238.36,Success,Utah
TXN0000000039,CUST000001,Credit Card,2026-03-26,Debit,Shopping,POS,8963.25,Success,Utah
TXN0000000040,CUST000001,Credit Card,2026-01-28,Debit,Fuel,ATM,2397.74,Success,Utah
TXN0000000041,CUST000001,Savings Account,2026-06-01,Credit,Salary Credit,POS,65904.33,Success,Utah
TXN0000000042,CUST000001,Savings Account,2025-12-31,Debit,Groceries,UPI,5560.63,Success,Utah
TXN0000000043,CUST000001,Loan Account,2025-10-11,Debit,Restaurant,Mobile Banking,4886.5,Success,Utah
TXN0000000044,CUST000001,Savings Account,2026-02-23,Debit,Fuel,Mobile Banking,10119.14,Success,Utah
TXN0000000045,CUST000001,Loan Account,2026-01-14,Debit,Restaurant,ATM,4449.05,Success,Utah
TXN0000000046,CUST000001,Savings Account,2026-05-22,Debit,Fuel,Mobile Banking,7583.71,Success,Utah
TXN0000000047,CUST000001,Credit Card,2026-04-17,Debit,Groceries,UPI,5336.57,Success,Utah
